,furthest,genomic,phyloP,phastCons,length,monophyletic,sigTPM,tau,dev_tau
0,8,1,3,3,2,2,1,1,2
1,10,2,2,2,2,2,1,2,1
2,6,1,2,2,2,2,1,1,1
3,6,2,1,1,1,2,1,1,1
4,10,2,3,3,2,2,2,1,2
5,6,1,2,2,2,2,1,1,2
6,8,3,3,3,3,2,1,1,1
7,9,3,2,2,3,2,1,2,2
8,1,4,2,1,3,1,1,2,2
9,8,2,2,2,2,2,1,1,1
10,6,2,2,2,2,2,1,1,1
11,6,2,2,2,2,2,1,1,1
12,6,3,2,2,3,2,1,2,2
13,6,2,2,2,2,2,1,1,2
14,8,2,2,3,2,2,1,1,1
15,7,3,2,2,2,2,1,2,2
16,7,3,2,2,2,2,1,1,1
17,6,3,3,3,2,2,1,1,1
18,7,2,2,2,2,2,1,1,1
19,8,2,2,2,1,2,1,1,1
20,6,3,2,2,2,2,1,2,1
21,NA,3,3,2,2,2,1,2,1
22,6,3,1,1,2,2,1,1,1
23,11,3,3,3,2,2,1,1,2
24,7,1,3,3,2,2,1,1,1
25,8,2,2,2,2,2,1,1,1
26,8,2,3,2,2,2,1,1,2
27,7,3,2,2,3,2,1,1,2
28,7,3,2,2,3,2,1,1,1
29,6,3,2,1,2,2,1,1,1
30,8,2,3,3,2,1,1,1,1
31,8,3,3,2,3,2,1,1,1
32,1,4,1,1,2,1,1,2,2
33,1,1,1,NA,2,1,1,1,1
34,7,3,2,2,3,2,1,1,1
35,2,2,1,1,2,2,1,1,1
36,10,2,3,3,3,2,1,1,1
37,6,2,2,3,3,2,1,1,1
38,12,2,3,3,3,2,1,1,1
39,8,1,3,2,3,2,1,1,1
40,11,3,2,3,3,2,1,1,2
41,6,3,2,1,1,2,1,1,1
42,10,3,3,3,3,2,1,1,1
43,7,2,3,3,2,2,1,1,1
44,7,2,3,3,2,1,1,2,1
45,8,3,3,3,2,2,1,2,1
46,6,3,2,2,2,2,1,2,2
47,7,3,3,2,3,2,1,1,2
48,14,2,3,3,1,2,2,2,2
49,11,2,3,3,3,2,1,2,2
50,8,3,3,3,2,2,1,2,1
51,10,3,3,3,2,2,1,1,1
52,7,2,2,2,3,2,1,1,1
53,11,2,3,2,2,2,1,1,1
54,9,3,3,3,2,2,1,1,1
55,7,2,2,2,2,2,1,1,1
56,6,3,2,2,2,2,1,1,1
57,7,1,3,3,2,2,1,1,2
58,1,4,1,1,2,1,1,1,1
59,3,2,2,1,2,2,1,1,1
60,8,3,2,2,3,2,1,2,2
61,6,3,2,2,2,2,1,2,1
62,7,2,3,3,1,1,1,2,1
63,6,3,2,2,3,2,1,1,2
64,7,3,2,2,3,2,1,1,2
65,10,1,3,3,2,2,1,2,1
66,8,2,2,2,2,2,1,1,1
67,8,3,2,2,3,2,1,1,2
68,4,1,2,2,2,1,1,1,1
69,10,2,3,3,2,2,1,1,2
70,NA,3,3,3,3,NA,1,1,2
71,8,2,2,2,3,2,1,2,1
72,6,3,2,1,2,2,1,1,1
73,10,3,3,3,3,2,1,1,2
74,3,3,2,1,2,1,1,1,1
75,10,3,3,2,2,2,1,1,2
76,7,3,3,3,2,2,1,1,1
77,13,2,3,2,2,2,1,2,2
78,6,3,3,3,3,2,1,1,1
79,10,3,3,3,3,2,1,1,2
80,7,3,2,2,2,2,1,1,1
81,7,2,3,3,2,2,1,1,1
82,14,3,3,3,2,2,1,1,2
83,7,3,2,2,3,2,1,1,1
84,7,2,2,2,1,2,1,1,1
85,8,1,3,3,3,2,1,1,2
86,7,2,2,2,3,2,1,2,2
87,11,2,2,3,2,2,1,1,2
88,6,1,1,1,2,2,1,1,2
89,7,2,2,2,2,2,1,1,2
90,8,2,3,3,2,2,1,1,2
91,2,1,1,1,1,2,1,1,1
92,12,3,3,3,2,2,1,1,2
93,7,2,3,3,2,1,1,1,2
94,7,3,3,3,2,2,1,2,1
