,furthest,genomic,phyloP,phastCons,length,monophyletic,sigTPM,tau,dev_tau
2.1,droMir,intergenic,2.3947666640186496,0.9313888884046009,30.0,False,0.472655,1.0000000000000002,
4.1,droGri,antisense,1.1508390931359098,0.5939999996395461,29.0,False,1.761941,,0.9999999999999996
9.1,droRho,intergenic,0.8261176488298342,0.49081372477310503,34.0,False,6.255064,0.9134298582186613,0.8395051287334854
10.1,droRho,antisense,-0.226208333275281,0.0100416667094881,16.0,False,2.664151,1.0,0.9427997964103197
20.1,droGri,antisense,2.08733332220997,0.9697619062094459,35.0,False,0.061327,0.9789441844240458,
22.1,droRho,intergenic,0.6946281983430551,0.52000000121263,26.0,False,1.138992,1.0000000000000002,
23.1,droMir,sense,1.60278108358309,0.8556716418604999,67.0,False,16.127701000000002,0.8206298816955531,0.8017380801250933
31.1,droWil,sense,1.25441250401879,0.6383666681576871,80.0,False,3.066307,0.7494033883954387,0.7310426485306531
32.1,dm,mixed,0.0175268639237047,0.0258476063979996,1748.0,True,148.08709799999988,0.6278704689243311,0.7684142866013141
39.1,droMir,antisense,0.7726666724220631,0.605542856430457,35.0,False,10.002821,0.9425064280294451,0.9249999932377535
41.1,droRho,antisense,0.56884684312988,0.322225225602721,37.0,False,4.1897269999999995,0.8369858996756823,0.8980277418190716
45.1,droRho,antisense,0.96505333142976,0.62229333352608,50.0,False,3.805074,0.9090273441429852,0.8906913930797193
46.1,droRho,sense,0.371209970974544,0.41840682405180296,127.0,False,11.368089,0.7128962511257011,0.6082957153705089
51.1,droRho,antisense,0.3283333327466,0.272492063317692,42.0,False,63.026829000000006,0.8967689341593926,0.5600253475361132
61.1,droMir,antisense,0.946809522364111,0.8062063487512731,21.0,False,3.316761,0.9467529418370136,0.8334409096066623
64.1,droFic,sense,0.771257579354852,0.508075758823631,22.0,False,726.918335,0.7456940990419115,0.7119426402519261
69.1,droFic,sense,0.7064687487775999,0.397812499876939,32.0,False,2.76,0.9711228134717207,0.9333838885431116
70.1,droRho,sense,1.36721737988199,0.953717391560043,46.0,False,2.749376,0.8975062019950876,0.9780044077989989
75.1,droFic,antisense,0.963685715908096,0.760371430212676,35.0,False,14.456463000000001,0.8477067075371407,0.9015772997255046
76.1,droMir,antisense,0.7343124884064309,0.40052083332557203,16.0,False,9.756125,0.9185159801335857,0.8388905544771366
78.1,droRho,sense,0.650634928355141,0.658761903826546,21.0,False,4.625062000000001,0.586370564726117,0.9184074705029502
84.1,,sense,1.45166666787483,0.7325294128215111,42.0,False,41.223286,0.7391347995502182,0.878512022441795
88.1,droRho,sense,-0.127015155768304,0.0123333331818382,22.0,False,3.263843,0.8747506904203779,0.8629100916453951
90.1,musDom,sense,2.50977776627298,0.827925926295359,36.0,False,72.177643,0.929490383674207,0.6773305542051433
95.1,droFic,intergenic,1.37629412459643,0.962990199818331,34.0,False,7.194546000000001,0.984889323635532,0.8410113504378592
96.1,droMir,antisense,0.550068629516389,0.37509803912903705,34.0,False,1.307723,0.951925320138209,0.970061456984844
99.1,droMir,antisense,1.31671999731101,0.632893336083119,25.0,False,3.5498410000000002,0.9376342835289686,0.7834598051096443
100.1,droFic,sense,0.627353419912568,0.412008032174201,83.0,False,45.753433,0.8556254347043848,0.6550668678480753
101.1,droFic,sense,0.962144917924888,0.631323672345714,69.0,False,5.430761,0.9491286174254003,0.9428649605531612
114.1,droRho,sense,0.289575756785008,0.18543181792748198,44.0,False,3.124886,0.9439925490508838,0.9999999999999996
119.1,droMir,antisense,2.13486324982224,0.8714700849382528,39.0,True,4.573484,0.9202823114759078,0.9299201424451506
127.1,droMir,sense,1.53334581973225,0.713333333817718,80.0,False,7.557188000000001,0.9656188363838172,0.9616172031908005
130.1,dm,mixed,-0.0183752009503586,0.0231582491770493,50.0,True,125.83171500000005,0.6866223809385206,0.6215466029644986
133.1,dm,intergenic,0.0,0.0,22.0,True,3.3743300000000005,0.9797452711770684,0.9344421535010601
136.1,droFic,sense,1.0376021579266,0.669763442083207,62.0,False,2.318187,1.0,0.9288676976789803
141.1,droSec,antisense,-0.28630208068837704,0.00302083337737713,32.0,False,1.7200060000000001,0.9123677872135719,0.8903427509287882
142.1,droGri,antisense,2.3878602273712204,0.935403225581682,62.0,False,5.1647620000000005,0.741794552660583,0.8255795330543564
148.1,droRho,antisense,1.0765119000848,0.81024404955055,56.0,False,3.764382,0.8012517645361934,0.8407769188852668
153.1,anoGam,antisense,1.95699572574713,0.832641025125069,78.0,False,1.739509,0.9792867910480569,0.9940140666244107
155.1,droMir,intergenic,1.51099424796372,0.7693850577329872,58.0,False,0.731248,0.8683397192309918,0.9503032831822439
161.1,musDom,sense,0.7348848457532849,0.911084851419384,55.0,False,2.739775,1.0000000000000002,0.776057791768374
