priority,id,class,phyloP,phastCons,denovo,lnTPM,max_Lu_riboTPM,validated by 2nd method
1,329.1,alt-frame,2.36440000886311,0.9394416700427729,No,6.3702354063545,0.7251810000000001,Yes
2,4992.1,alt-frame,2.0000357076170903,0.850773807940727,No,5.123574397573731,0.43738299999999997,Yes
3,1852.1,alt-frame,3.1294523443128597,0.999196428982984,No,4.588234452621488,0.533696,Yes
4,2081.1,alt-frame,1.6871724199321698,0.8600229888983159,Yes,4.544458328491735,0.483125,Yes
5,3229.1,alt-frame,2.1184492646109097,0.839521738923276,No,3.9347455225566788,0.643396,Yes
6,4937.1,alt-frame,3.13778856730967,0.8262520322587521,Yes,3.6099557472087795,0.6890270000000001,Yes
7,1129.1,alt-frame,2.57625235209375,0.955261905642138,Yes,4.065107168156747,0.321535,Yes
8,1753.1,utORFs,0.313046946443351,0.34364788829099796,No,7.17159828879737,12.394323,No
9,2982.1,fast-evolving,0.241772728675807,0.13954545529806198,Yes,4.928765650257339,0.490088,No
10,4766.1,fast-evolving,0.368598762375768,0.146913580375114,Yes,4.899545456431808,0.374707,No
11,3298.1,mel-specific,0.140880001150072,0.126879999943388,Yes,4.257618045306037,0.452891,No
12,2065.1,utORFs,0.42136000081896796,0.507653336388369,No,5.2807653573099635,0.18077200000000002,No
13,162.1,fast-evolving,0.0177916718336443,0.114499999874776,Yes,4.687638101236164,0.186996,No
14,3618.1,mel-specific,-0.0816956475728016,0.0112753624680277,Yes,4.100842670378692,0.181575,No
15,2780.1,alt-frame,3.2505972103940097,0.9986666672759591,No,7.895271604975326,594.087036,No
16,100.1,utORFs,0.627353419912568,0.412008032174201,Yes,3.8232886832022626,2.017203,Yes
17,993.1,alt-frame,2.6864905564155497,0.9991415096153999,Yes,6.176803218663616,66.941078,No
18,2187.1,alt-frame,1.12547222278081,0.7132777781691401,No,4.752131127190112,0.444995,Yes
19,4202.1,fast-evolving,0.293145830432574,0.140749998982452,No,3.240532731924562,0.18995599999999999,No
20,51.1,utORFs,0.3283333327466,0.272492063317692,Yes,4.143576359016218,0.11131300000000001,No
21,46.1,utORFs,0.371209970974544,0.41840682405180296,No,2.4308981814213686,0.481382,No
22,1001.1,utORFs,1.03353967637725,0.600849208866416,Yes,4.118966408080924,0.46777299999999994,Yes
23,2708.1,mel-specific,1.70045679172984,0.804839505509324,Yes,5.986413801037076,0.8580469999999999,No
24,64.1,utORFs,0.771257579354852,0.508075758823631,Yes,6.588815515393955,0.217085,Yes
25,574.1,utORFs,1.4710980418923403,0.8215882373498941,Yes,5.003274033040795,1.334515,No
26,835.1,utORFs,0.31029823754930397,0.207596491381992,Yes,3.132308451112727,0.180181,No
27,1401.1,utORFs,1.65227468616335,0.794203704323283,Yes,3.7474303271990372,0.555483,Yes
28,3213.1,alt-frame,2.1664814968524397,0.951296297212442,Yes,7.311901336859254,0.5801069999999999,No
29,1594.1,mel-specific,-0.0399495312490592,0.00242658016367909,No,5.173203617374138,0.046776,No
30,947.1,utORFs,1.41664197784561,0.7366296306746891,Yes,3.96387195341164,0.406911,Yes
31,746.2,alt-frame,2.42317372891929,0.895666666512548,Yes,4.79083044643643,0.9946219999999999,No
32,766.1,alt-frame,1.6928636348439399,0.9060303054619441,Yes,5.988903422727032,0.581259,No
33,997.1,alt-frame,2.860278662742,0.965535519481764,No,4.706179621410424,0.852051,No
34,130.1,mel-specific,-0.0183752009503586,0.0231582491770493,No,4.834953366101612,0.044333,No
35,2766.1,alt-frame,2.2247833504031096,0.884483336905638,Yes,5.267927491711311,0.542367,No
36,4767.1,alt-frame,2.6905741072432297,0.968629630903403,No,4.074687046396742,10.650487,No
37,3973.1,mel-specific,-0.0625204687110252,0.0600760231762634,Yes,2.986082463539912,0.17233900000000002,No
38,565.1,utORFs,0.29228646265013003,0.243630209144612,Yes,2.469081760790831,0.22732399999999997,No
39,4965.1,alt-frame,1.93200470410078,0.912154929871461,No,4.081829980485992,1.833781,No
40,2544.1,utORFs,1.1190701670711898,0.7687280710455721,Yes,3.905641084221429,0.297323,Yes
41,525.1,alt-frame,1.4944545407356202,0.835590910319959,No,3.9457229494490362,2.149856,No
42,172.1,utORFs,1.7964954927379098,0.8095495494739109,Yes,4.1189909786234935,1.037684,No
43,4355.1,alt-frame,1.7882499858758198,0.9915681824539649,No,3.8810539979143894,3.3468739999999997,No
44,2682.1,alt-frame,2.0567592895348303,0.851425926222604,Yes,4.2226001245968785,0.801874,No
45,1445.1,unassigned,-0.00011682757730461001,0.0109394426585603,No,3.006394578616133,0.13054200000000002,No
46,3179.1,mel-specific,-0.0723333314937704,0.0288333336265721,No,2.630193374870387,0.174696,No
47,3158.1,alt-frame,2.4534603194998796,0.9022857139980981,No,3.63687498584955,7.73897,No
48,645.1,alt-frame,1.78303701959458,0.9067654317175899,Yes,4.666310176155911,0.43601599999999996,No
49,532.1,alt-frame,1.4505629542249199,0.813125927009861,No,4.248962275829246,0.588683,No
50,4661.1,alt-frame,3.6363465999563505,0.9882266680399581,Yes,5.759019192850911,0.293554,No
51,337.1,utORFs,0.40146666306342604,0.22995000137210198,No,3.1241400000904447,0.108214,No
52,3622.1,alt-frame,2.65607623498709,0.984514287256059,No,4.0631738301861615,0.620976,No
53,2110.1,utORFs,1.9709555577900701,0.9516666710376741,Yes,7.373680564327644,0.24427600000000002,No
54,1475.1,unassigned,1.27918183270165,0.811863637070708,No,3.5779506587659595,1.865117,No
55,4786.1,utORFs,2.60779285800543,0.800502825341154,Yes,4.807387323274283,0.31501599999999996,No
